Depth (m),del18O,Age (yrs BP),temperature
378.95,-35.2,1626.4,-32.09
379.5,-35.12,1629.2,-31.97
380.05,-34.82,1632.0,-31.52
380.6,-35.05,1634.8,-31.87
381.15,-34.15,1637.6,-30.52
381.7,-36.22,1640.2,-33.61
382.25,-36.72,1643.3,-34.36
382.8,-34.64,1646.5,-31.25
383.35,-35.44,1649.2,-32.45
383.9,-34.95,1652.1,-31.72
384.45,-35.05,1654.9,-31.87
385.0,-35.65,1657.7,-32.76
385.55,-33.18,1660.6,-29.07
386.1,-34.58,1663.1,-31.16
386.65,-36.04,1665.8,-33.34
387.2,-35.63,1668.9,-32.73
387.75,-35.84,1671.8,-33.04
388.3,-35.25,1674.8,-32.16
388.85,-34.86,1677.6,-31.58
389.4,-34.42,1680.4,-30.93
389.95,-34.41,1683.1,-30.91
390.5,-34.83,1685.7,-31.54
391.05,-35.22,1688.5,-32.12
391.6,-35.04,1691.3,-31.85
392.15,-34.88,1694.1,-31.61
392.7,-34.95,1696.9,-31.72
393.25,-34.78,1699.7,-31.46
393.8,-33.86,1702.4,-30.09
394.35,-35.98,1705.0,-33.25
394.9,-34.28,1708.1,-30.72
395.45,-33.91,1710.7,-30.16
396.0,-35.6,1713.3,-32.69
396.55,-34.87,1716.3,-31.6
397.1,-36.01,1719.0,-33.3
397.65,-35.32,1722.1,-32.27
398.2,-35.19,1725.0,-32.07
398.75,-34.73,1727.8,-31.39
399.3,-35.9,1730.5,-33.13
399.85,-35.83,1733.6,-33.03
400.4,-35.5,1736.6,-32.54
400.95,-34.7,1739.5,-31.34
401.5,-36.38,1742.2,-33.85
402.05,-35.66,1745.4,-32.78
402.6,-35.2,1748.4,-32.09
403.15,-36.31,1751.2,-33.75
403.7,-35.44,1754.4,-32.45
404.25,-33.92,1757.3,-30.18
404.8,-34.61,1759.9,-31.21
405.35,-34.1,1762.6,-30.45
405.9,-34.46,1765.3,-30.99
406.45,-35.25,1768.0,-32.16
407.0,-34.94,1770.8,-31.7
407.55,-34.86,1773.6,-31.58
408.1,-35.52,1776.4,-32.57
408.65,-34.96,1779.4,-31.73
409.2,-35.72,1782.2,-32.87
409.75,-35.45,1785.2,-32.46
410.3,-35.21,1788.1,-32.1
410.85,-35.3,1790.9,-32.24
411.4,-36.15,1793.8,-33.51
411.95,-36.33,1796.9,-33.78
412.5,-35.29,1800.1,-32.22
